,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Handle (Name),TikTok,Insta,YT,Total followers,Background/Affiliation,Key Content & Audience,Engagement/Interaction,Additional Notes,TikTok account,Insta account,YT account,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17
teacherpaywithk,37600,18300,171,56071,"teacher in NJ, local union president ","""current events and politics"" in her own words. recaps of gov debate. ",Lots of affirming comments and likes although varies,"Has liberal point of view - does back with specific facts in many cases, clips from debates etc. Not fully NJ focused, talks about major governor's races in other states, teachers strikes in other states. ",https://www.tiktok.com/@teacherpaywithk,https://www.instagram.com/teacherpaywithk/?hl=en,https://www.youtube.com/@TeacherPayWithK,,,,,,,,,,,,,,
teacher in nj,30000,20200,,50200,teacher in NJ,"education commentary from a conservative perspective. School funding in nj, political opinon, other state budget issues, some general New Jersey news",substantial engagement ,"She is digging fairly deep into budget minutae...not a lot of transparency on how she knows what she knows, but possible she pre-established that. Invites readers to comment with anything she missed. Uses #conservative and #murphyhasgotto #tapintoit tags She posts A LOT. Asks for verification about something specific she isn't sure about. She gets requests to talk about specific districts and cuts. Discloses use of ChatGPT...I would not have trusted it for what she used it for, but it is disclosed.",https://www.tiktok.com/@teacher_in_nj/video/7559551209154120990,https://www.instagram.com/p/DPjyhjsCXf1/,,,,,,,,,,,,,,,
The Montclair Pod,,8548,,8548," A podcast that explores the news and culture of Montclair, NJ.","education, food, real estate, small business, the arts","some get a fair number of comments, obviously the missing money in the school board budget is hot button","Professional, very newsy, mix of both hard news and lifestyle. Stefanie flagged this one as quickly growing. ",,https://www.instagram.com/themontclairpod/?hl=en,,,,,,,,,,,,,,,
Kate Watt Photo,12700,"34,800",,47500,photographer,Mostly photos and drone videos of Jersey Shore beaches,a fair amount of likes and comments considering this is mostly visual,"Does updates on big news related to Jersey Shore, forecast when the nor'easter blows through",https://www.tiktok.com/@katewattphotoo,https://www.instagram.com/katewattphoto/?hl=en,,,,,,,,,,,,,,,
lexlivinglife - NJ Eats,108100,"83,700",,191800,"New Jersey lifestyle and foodie, NJ content creator","restaurants mostly but other things as well, spas, dog trainers, etc.",lots of comments and likes,,https://www.tiktok.com/@lexlivinglife?lang=en,https://www.tiktok.com/@lexlivinglife?lang=en,,,,,,,,,,,,,,,
The Drop Podcast,,"12,900",14200,27100,All things golf in New Jersey. Mike Puorro & Ryan Kulat,"Golf, interviews with golf-related people, history of golf courses",Most posts 50 to 100 likes and a handful of comments,"Newsy, chatty podcasts. No attribution but does some original reporting and interviews",,https://www.instagram.com/thedrop_pod/,https://www.youtube.com/@thedropgolfpodcast,,,,,,,,,,,,,,
Jersey Sports Zone,43200,42400,134000,219600,Jersey Sports Zone puts its emphasis on  high definition video highlights and features of New Jersey high school sports.   ,High school sports,"lots of interaction, hundreds of comments","This is more of an org than an influencer so may not meet our criteria. However, it is interesting becuase it's not quite like a traditional news org per se. Jersey Sports Zone is supported by sponsors.  That’s done by having local businesses support their hometown team and statewide sponsors who allow us to showcase the top moments from New Jersey high school sports.  Every day when we look at the schedule of games around the state, our top priority is to serve the sports and teams that have sponsors.",https://www.tiktok.com/@jsz_sports?lang=en,https://www.instagram.com/jerseysportszone/?hl=en,https://www.youtube.com/c/JerseySportsZone,,,,,,,,,,,,,,
New Jersey Shade,,388000,,388000,Ran By Our 388k+ New Jerseyans For All Inquiries Contact @amdirection,Wide range of topics. Video and image-oriented. Crazy Jersey and Only In Jersey vibes.,Tens and hundreds of thousands of likes. Personal injury solicitations. Looks like linked to a personal injury lawyer.,"This may not fit our criteria, but is notable given the huge following and the fact that it really is very local. Lots of party promo types of stuff. ",,https://www.instagram.com/newjerseyshade/?hl=en,,,,,,,,,,,,,,,
NJ Takedown,,12700,,12700,"Powered by: @njathletics
Presented by: @adidaswrestling",Anything wrestling in New Jersey current and former. Video clips of NJ wrestlers. Top ten lists.,"500 to 1,000 likes. Handful of comments.",,,https://www.instagram.com/njtakedown/,,,,,,,,,,,,,,,
Jersey Talks,42300,40300,,82600,"New Jersey’s #1 News | Entertainment | Memes | More 18+
Not Your Typical Boring News Source 🤷🏽‍♂️
The Good, The Bad, The Funny 😅","Crazy Jersey content. Video-led, dash-cam footage of crazy drivers. Some Trump news. Some Things to Do This Weekend. Current events, crime, funny videos",Thousands of likes and hundreds of comments. Lots of engagement.,"not ""news influncers"" but a very well followed and engaged with account that is very NJ centric",https://www.tiktok.com/@jerseytalksnet,https://www.instagram.com/jerseytalks/?hl=en,,,,,,,,,,,,,,,
